,BTC,SPY,QQQ,Gold,TLT,VIX
2018-05-02,9235.919921875,231.9898681640625,153.6272430419922,123.6500015258789,93.82238006591797,15.970000267028809
2018-05-03,9743.8603515625,231.47862243652344,153.60829162597656,124.27999877929688,94.24273681640625,15.899999618530273
2018-05-04,9700.759765625,234.4754180908203,156.5228729248047,124.54000091552734,94.38554382324219,14.770000457763672
2018-05-07,9373.009765625,235.26870727539062,157.82347106933594,124.56999969482422,94.23481750488281,14.75
2018-05-08,9234.8203125,235.26870727539062,157.66209411621094,124.58999633789062,94.1475601196289,14.710000038146973
2018-05-09,9325.1796875,237.54275512695312,159.38046264648438,124.33000183105469,93.58440399169922,13.420000076293945
2018-05-10,9043.9404296875,239.76385498046875,161.03231811523438,125.18000030517578,94.337890625,13.229999542236328
2018-05-11,8441.490234375,240.4954833984375,160.8804473876953,125.0,94.5759048461914,12.649999618530273
2018-05-14,8716.7900390625,240.610107421875,161.15579223632812,124.48999786376953,94.07616424560547,12.930000305175781
2018-05-15,8510.3798828125,238.9530487060547,159.3709259033203,122.4800033569336,93.00530242919922,14.630000114440918
2018-05-16,8368.830078125,239.95779418945312,160.4247589111328,122.29000091552734,92.64835357666016,13.420000076293945
2018-05-17,8094.31982421875,239.7550811767578,159.80763244628906,122.36000061035156,92.18035888671875,13.430000305175781
2018-05-18,8250.9697265625,239.1556854248047,158.98178100585938,122.41000366210938,92.97360229492188,13.420000076293945
2018-05-21,8418.990234375,240.953857421875,159.87413024902344,122.4800033569336,93.02119445800781,13.079999923706055
2018-05-22,8041.77978515625,240.28399658203125,159.66526794433594,122.41000366210938,92.87837219238281,13.220000267028809
2018-05-23,7557.81982421875,240.945068359375,161.0133819580078,122.54000091552734,93.55265808105469,12.579999923706055
2018-05-24,7587.33984375,240.451416015625,160.9658966064453,123.58999633789062,94.29828643798828,12.529999732971191
2018-05-25,7480.14013671875,239.8785400390625,161.12725830078125,123.20999908447266,94.8852310180664,13.220000267028809
2018-05-29,7472.58984375,237.11964416503906,160.41529846191406,123.19000244140625,96.9634780883789,17.020000457763672
2018-05-30,7406.52001953125,240.28399658203125,161.56398010253906,123.37000274658203,96.31309509277344,14.9399995803833
2018-05-31,7494.169921875,238.8120574951172,161.45960998535156,123.0999984741211,96.15438079833984,15.430000305175781
2018-06-01,7541.4501953125,241.1565704345703,163.994384765625,122.48999786376953,95.64640045166016,13.460000038146973
